name,price,socket_type,cooler_length,created_at
PCCOOLER PALADIN EX400S,23900,"115X,1851,AMD4,1800",157.0,2026-05-21 09:29:27.587474
JIUSHARK JF150RS Lily RGB,23900,"115X,1851,AMD4,2200",135.0,2026-05-21 09:29:27.587474
3RSYS TEAMMOST TM-50 RGB,23900,"115X,1366,AMD4,AM2,1500",154.0,2026-05-21 09:29:27.587474
JIUSHARK JF150RS Lily ARGB,23900,"1851,115X,AMD4,2200",135.0,2026-05-21 09:29:27.587474
PCCOOLER CPS R400 ARGB,23900,"1851,115X,AMD4,2200",133.0,2026-05-21 09:29:27.587474
3RSYS Socoool RC270 ARGB,23980,"115X,1851,AMD4,2200",127.0,2026-05-21 09:29:27.587474
ID-COOLING SE-214 XT V2 BLACK 데이븐,24170,"115X,1851,AMD4,2000",152.0,2026-05-21 09:29:27.587474
ID-COOLING SE-214-XT ARGB 데이븐,24250,"1851,115X,AMD4,1500",150.0,2026-05-21 09:29:27.587474
MSI MAG 코어프로저 AA13 ARGB,24250,"1851,AMD4,2070",152.0,2026-05-21 09:29:27.587474
ID-COOLING SE-214 XT V2 ARGB 데이븐,24250,"1851,115X,AMD4,2000",152.0,2026-05-21 09:29:27.587474
다산코퍼레이션 디프렌드 ODIN DA-613,24410,"115X,AMD4,1700",158.0,2026-05-21 09:29:27.587474
Thermalright Assassin X 90 SE V2 서린,24720,"115X,AMD4,2200",118.0,2026-05-21 09:29:27.587474
GAMEMAX Gamma90 Digital,24780,"115X,1851,AMD4,2500",132.0,2026-05-21 09:29:27.587474
COOLERTEC CT-775-1U-BLOWER (PWM),24790,6000,,2026-05-21 09:29:27.587474
PCCOOLER PALADIN EX400 ARGB,24900,"1851,115X,AMD4,1800",157.0,2026-05-21 09:29:27.587474
JIUSHARK JF100D Digital,24900,"1851,115X,AMD4,1500",154.0,2026-05-21 09:29:27.587474
ID-COOLING IS-40X V3,24920,"115X,AMD4,2800",45.0,2026-05-21 09:29:27.587474
타무즈 T4-V4D,25200,"2011,1366,1851,2066,115X,AMD4,1900",154.0,2026-05-21 09:29:27.587474
쿨러마스터 HYPER 411 NANO ARGB,25220,"1851,115X,AMD4,2500",136.0,2026-05-21 09:29:27.587474
ARCTIC Freezer 8A,25530,"AMD4,2300",136.0,2026-05-21 09:29:27.587474
MAXTILL MAX400 ARGB,25540,"115X,1366,1851,AMD4,1600",150.0,2026-05-21 09:29:27.587474
3RSYS Socoool RC750N PWM,25620,"115X,AMD4,2100",75.0,2026-05-21 09:29:27.587474
잘만 CNPS9X ECO DS,25760,"1851,AMD4,2100",155.0,2026-05-21 09:29:27.587474
Thermalright Assassin X 120 Refined SE WHITE ARGB 서린,25790,"115X,AMD4,1550",148.0,2026-05-21 09:29:27.587474
쿨러마스터 Hyper 212 3DHP ARGB,25880,"1851,115X,AMD4,2050",158.0,2026-05-21 09:29:27.587474
ID-COOLING FROZN A410 SE 데이븐,25990,"115X,1851,AMD4,1800",152.0,2026-05-21 09:29:27.587474
ARCTIC Freezer 8i,25990,"1851,2300",136.0,2026-05-21 09:29:27.587474
ARCTIC Freezer 8A CO,26000,"AMD4,2300",136.0,2026-05-21 09:29:27.587474
ID-COOLING IS-40-XT 데이븐,26070,"1851,115X,AMD4,2800",47.0,2026-05-21 09:29:27.587474
darkFlash Ellsworth S21,26110,"115X,1366,AMD4,AM2,2000",157.0,2026-05-21 09:29:27.587474
몬스타 옥시푸스 델타 A40,26180,"1851,115X,AMD4,2000",156.0,2026-05-21 09:29:27.587474
ALSEYE WIND CUBE LP,26490,"115X,2011,1366,AMD4,AM2,4000",97.0,2026-05-21 09:29:27.587474
잘만 CNPS9X PERFORMA,26900,"115X,AMD4,1800",157.0,2026-05-21 09:29:27.587474
아이티젠 비티즈 T600 NON-LED,26900,"1366,2011,115X,AMD4,AM2,1950",148.0,2026-05-21 09:29:27.587474
darkFlash Ellsworth S21 ARGB,26990,"115X,1366,AMD4,AM2,2000",157.0,2026-05-21 09:29:27.587474
darkFlash Ellsworth S11 PRO ARGB,26990,"2011,115X,2066,AM2,AMD4,1800",158.0,2026-05-21 09:29:27.587474
3RSYS Socoool RC160 RGB,27000,"1851,115X,2011,AMD4,2300",118.0,2026-05-21 09:29:27.587474
GELID SLIM SILENCE AM1,27000,1200,26.0,2026-05-21 09:29:27.587474
EVERCOOL MCI02-510BA,27140,5500,24.0,2026-05-21 09:29:27.587474
잘만 CNPS9X PERFORMA PLUS,27340,"1851,115X,AMD4,2000",157.0,2026-05-21 09:29:27.587474
XIGMATEK LOKI II,27400,"115X,1366,2800",134.0,2026-05-21 09:29:27.587474
마이크로닉스 MA-4 Frigate,27400,"115X,1851,AMD4,1500",156.0,2026-05-21 09:29:27.587474
iHTP J15 DIGITAL ARGB,27400,"1851,115X,AMD4,2000",156.0,2026-05-21 09:29:27.587474
DEEPCOOL AG400 G2 ARGB,27530,"1851,AMD4,2200",154.0,2026-05-21 09:29:27.587474
PROLIMATECH GENESIS TWIN,27660,"115X,1366,AM2,2000",160.0,2026-05-21 09:29:27.587474
Thermalright Assassin X 90 SE ARGB 서린,27720,"115X,AMD4,2200",118.0,2026-05-21 09:29:27.587474
3RSYS Socoool RC980N 쌍철봉,27760,"115X,1851,AMD4,2100",137.0,2026-05-21 09:29:27.587474
PCCOOLER CPS RT400 TCL FULL ARGB,27900,"115X,1851,AMD4,2200",152.0,2026-05-21 09:29:27.587474
ARCTIC Freezer 8i CO,27990,"1851,2300",136.0,2026-05-21 09:29:27.587474
JIUSHARK JF100,28000,"115X,1851,AMD4,1500",157.0,2026-05-21 09:29:27.587474
다산코퍼레이션 디프렌드 ODIN DA-613 ARGB,28060,"115X,AMD4,1700",158.0,2026-05-21 09:29:27.587474
타무즈 T4-V4D-ARGB,28350,"1851,2066,2011,1366,115X,AMD4,1900",154.0,2026-05-21 09:29:27.587474
COOLERTEC CT-775-1U-PASSIVE,28400,,,2026-05-21 09:29:27.587474
Thermalright Assassin King 120 SE 서린,28480,"115X,AMD4,1550",148.0,2026-05-21 09:29:27.587474
COOLERTEC CT-1155/1156-1U(2BALL),28490,"115X,5500",,2026-05-21 09:29:27.587474
3RSYS Socoool RC1080 오토 RGB,28490,"1851,AMD4,1800",151.0,2026-05-21 09:29:27.587474
DEEPCOOL AG400 DIGITAL,28920,"115X,1851,AMD4,2100",152.0,2026-05-21 09:29:27.587474
JIUSHARK JF200MINI Crystal,29000,"1851,2011,115X,AMD4,2300",144.0,2026-05-21 09:29:27.587474
3RSYS Socoool RC1050N PWM 램프리,29400,"115X,AMD4,1800",153.0,2026-05-21 09:29:27.587474
BRAVOTEC M4 마블 블랙팬서,29500,"115X,1366,AMD4,1500",157.0,2026-05-21 09:29:27.587474
LEADCOOL JD-1000 PWM 벌크,29500,"1851,115X,1366,2400",134.0,2026-05-21 09:29:27.587474
Thermalright Assassin X 120 Refined SE PLUS 서린,29600,"115X,AMD4,1550",148.0,2026-05-21 09:29:27.587474
DEEPCOOL AG400 오토 RGB,29760,"1851,115X,AMD4,2000",150.0,2026-05-21 09:29:27.587474
COUGAR FORZA 50 ESSENTIAL 서린,29770,"1851,115X,2066,2011,1366,AMD4,AM2,2000",155.0,2026-05-21 09:29:27.587474
AEROCOOL RIME 4,29890,"115X,2066,2011,AMD4,1800",155.0,2026-05-21 09:29:27.587474
