name,price,socket_type,memory_type,pcie_type,size,memory_clock,created_at
ASUS PRIME B760M-K D4 STCOM,136340,1700,DDR4,PCIE4.0X16,MATX,5333.0,2026-04-20 15:30:38.871935
MSI PRO H810M-B,137210,1851,DDR5,PCIE5.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
ASUS PRIME B760M-K D4 코잇,137390,1700,DDR4,PCIE4.0X16,MATX,5333.0,2026-04-20 15:30:38.871935
ASRock B760M Pro-A/D4 디앤디컴,137830,1700,DDR4,PCIE4.0X16,MATX,5333.0,2026-04-20 15:30:38.871935
GIGABYTE B760M D2HX LITE SI GEN5 피씨디렉트 (벌크),139310,1700,DDR5,PCIE5.0X16,MATX,5600.0,2026-04-20 15:30:38.871935
ASUS PRIME B650EM-A 대원씨티에스,139980,AM5,DDR5,PCIE5.0X16,MATX,8000.0,2026-04-20 15:30:38.871935
GIGABYTE B760M DS3H D4 GEN5 제이씨현,140060,1700,DDR4,PCIE5.0X16,MATX,5333.0,2026-04-20 15:30:38.871935
ASUS PRIME H810M-A-CSM STCOM,140990,1851,DDR5,PCIE4.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
ASUS PRIME H810M-A WIFI 코잇,142000,1851,DDR5,PCIE4.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
MSI PRO B760M-A DDR4 II,142500,1700,DDR4,PCIE4.0X16,MATX,5333.0,2026-04-20 15:30:38.871935
ASRock B650M PG Lightning + WiFi6E 모듈 패키지 디앤디컴,144350,AM5,DDR5,PCIE4.0X16,MATX,7200.0,2026-04-20 15:30:38.871935
ASRock B860M-X Gen5 에즈윈 (벌크),144850,1851,DDR5,PCIE5.0X16,MATX,9066.0,2026-04-20 15:30:38.871935
GIGABYTE B760M DS3H D4 GEN5 피씨디렉트,144870,1700,DDR4,PCIE5.0X16,MATX,5333.0,2026-04-20 15:30:38.871935
ASRock B650M Pro X3D 에즈윈,144920,AM5,DDR5,PCIE5.0X16,MATX,8000.0,2026-04-20 15:30:38.871935
MSI PRO B760M-P,144990,1700,DDR5,PCIE4.0X16,MATX,6800.0,2026-04-20 15:30:38.871935
GIGABYTE B650 AORUS ELITE V2 제이씨현,145000,AM5,DDR5,PCIE4.0X16,ATX,8000.0,2026-04-20 15:30:38.871935
MAXSUN 챌린저 H610ITX 2LAN 디앤디컴,145630,1700,DDR4,PCIE4.0X16,,3200.0,2026-04-20 15:30:38.871935
ASRock B360M PRO4 디앤디컴,146000,1151V2,DDR4,PCIE3.0X16,MATX,2666.0,2026-04-20 15:30:38.871935
ASUS PRIME B650EM-A STCOM,146730,AM5,DDR5,PCIE5.0X16,MATX,8000.0,2026-04-20 15:30:38.871935
ASRock B650M Pro X3D 디앤디컴,147680,AM5,DDR5,PCIE5.0X16,MATX,8000.0,2026-04-20 15:30:38.871935
ASRock B760M Pro RS D5 에즈윈,147690,1700,DDR5,PCIE5.0X16,MATX,7200.0,2026-04-20 15:30:38.871935
GIGABYTE B660M DS3H D4 제이씨현,148000,1700,DDR4,PCIE4.0X16,MATX,5333.0,2026-04-20 15:30:38.871935
ASRock B650M Pro X3D 대원씨티에스,148190,AM5,DDR5,PCIE5.0X16,MATX,8000.0,2026-04-20 15:30:38.871935
ASUS PRIME B760M-A 코잇,149070,1700,DDR5,PCIE4.0X16,MATX,7200.0,2026-04-20 15:30:38.871935
ASUS PRIME B760M-A D4 STCOM,149650,1700,DDR4,PCIE4.0X16,MATX,5333.0,2026-04-20 15:30:38.871935
ASRock H810M-X WIFI 디앤디컴,149880,1851,DDR5,PCIE4.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
ASRock B860M-HDVP 에즈윈 (벌크),150380,1851,DDR5,PCIE5.0X16,MATX,9066.0,2026-04-20 15:30:38.871935
ASRock B850M-X 디앤디컴,150570,AM5,DDR5,PCIE4.0X16,MATX,8200.0,2026-04-20 15:30:38.871935
ASUS H810M AYW GAMING WIFI 코잇,151140,1851,DDR5,PCIE4.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
ASUS TUF Gaming B760M-PLUS II 코잇,151960,1700,DDR5,PCIE5.0X16,MATX,7800.0,2026-04-20 15:30:38.871935
