Bench_Name,Score
AMD Opteron 275,839
AMD Opteron 280,765
AMD Opteron 285,956
AMD Opteron 290,952
AMD Opteron 3250 HE,2061
AMD Opteron 3260 HE,2283
AMD Opteron 3280,3783
AMD Opteron 3320 EE,1918
AMD Opteron 3350 HE,2699
AMD Opteron 3365,4125
AMD Opteron 3380,4358
AMD Opteron 4122,1913
AMD Opteron 4130,2342
AMD Opteron 4162 EE,2058
AMD Opteron 4170 HE,2382
AMD Opteron 4174 HE,2986
AMD Opteron 4184,2872
AMD Opteron 4226,3400
AMD Opteron 4274 HE,5776
AMD Opteron 4280,4504
AMD Opteron 4284,4665
AMD Opteron 4332 HE,3911
AMD Opteron 4334,3949
AMD Opteron 4365 EE,3582
AMD Opteron 4376 HE,4318
AMD Opteron 4386,3273
AMD Opteron 6128,2826
AMD Opteron 6128 HE,2932
AMD Opteron 6134,1910
AMD Opteron 6136,3381
AMD Opteron 6164 HE,3478
AMD Opteron 6172,2615
AMD Opteron 6174,3697
AMD Opteron 6176 SE,4539
AMD Opteron 6212,3973
AMD Opteron 6220,4753
AMD Opteron 6234,4072
AMD Opteron 6238,5625
AMD Opteron 6272,5240
AMD Opteron 6274,5643
AMD Opteron 6276,6348
AMD Opteron 6281,7279
AMD Opteron 6282 SE,6385
AMD Opteron 6287 SE,6925
AMD Opteron 6328,5306
AMD Opteron 6344,6069
AMD Opteron 6348,7850
AMD Opteron 6366 HE,5613
AMD Opteron 6376,5572
AMD Opteron 6378,5889
AMD Opteron 6380,6687
AMD Opteron 6386 SE,8291
AMD Opteron 8354,1664
AMD Opteron 8439 SE,2479
AMD Opteron X2170 APU,1911
AMD Opteron X3216 APU,1498
AMD Opteron X3418 APU,2764
AMD Opteron X3421 APU,3306
AMD Phenom 2 X4 12000,2080
AMD Phenom 7950 Quad-Core,1842
AMD Phenom 8250 Triple-Core,1114
AMD Phenom 8250e Triple-Core,1084
AMD Phenom 8400 Triple-Core,1164
AMD Phenom 8450 Triple-Core,1232
AMD Phenom 8450e Triple-Core,1206
AMD Phenom 8600 Triple-Core,1267
AMD Phenom 8600B Triple-Core,1464
AMD Phenom 8650 Triple-Core,1218
AMD Phenom 8750 Triple-Core,1445
AMD Phenom 8750B Triple-Core,1188
AMD Phenom 8850 Triple-Core,1142
AMD Phenom 8850B Triple-Core,1281
AMD Phenom 9100e Quad-Core,1353
AMD Phenom 9150e Quad-Core,1427
