name,price,recommended_power,pcie_type,gpu_length,created_at
GIGABYTE 지포스 RTX 5060 Ti EAGLE OC ICE D7 8GB 피씨디렉트,604520,650.0,PCIE5.0X16,215.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 Ti EAGLE OC D7 8GB 제이씨현,606000,650.0,PCIE5.0X16,215.0,2026-04-20 15:27:56.166823
ZOTAC GAMING 지포스 RTX 5060 LP D7 8GB,606820,,PCIE5.0X16,,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 Ti EAGLE MAX OC D7 8GB 피씨디렉트,607840,650.0,PCIE5.0X16,281.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 Ti EAGLE MAX OC D7 8GB 제이씨현,607970,650.0,PCIE5.0X16,281.0,2026-04-20 15:27:56.166823
PNY 지포스 RTX 5060 Ti OC D7 8GB Dual Fan 제이씨현,608030,600.0,PCIE5.0X16,245.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 Ti GAMING OC D7 8GB 피씨디렉트,610470,650.0,PCIE5.0X16,281.0,2026-04-20 15:27:56.166823
ASUS DUAL 지포스 RTX 5060 TI OC D7 8GB 대원씨티에스,610900,550.0,PCIE5.0X16,229.0,2026-04-20 15:27:56.166823
액슬 지포스 RTX 3070 Ti D6X 8GB 에즈윈,613690,,,292.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 Ti GAMING OC D7 8GB 제이씨현,613970,650.0,PCIE5.0X16,281.0,2026-04-20 15:27:56.166823
ASUS DUAL 지포스 RTX 5060 TI OC D7 8GB 인텍앤컴퍼니,619000,550.0,PCIE5.0X16,229.0,2026-04-20 15:27:56.166823
갤럭시 GALAZ 지포스 RTX 5060 BLACK OC V2 D7 8GB DUAL HDMI,619000,550.0,PCIE5.0X16,225.0,2026-04-20 15:27:56.166823
MANLI 지포스 RTX 5060 Ti Stellar OC D7 8GB 대원씨티에스,619650,,PCIE5.0X16,315.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 Ti AERO OC D7 8GB 제이씨현,621800,650.0,PCIE5.0X16,281.0,2026-04-20 15:27:56.166823
XFX 라데온 RX 9060 XT SWIFT DUAL OC D6 16GB,623060,450.0,PCIE5.0X16,270.0,2026-04-20 15:27:56.166823
XFX 라데온 RX 9060 XT SWIFT DUAL OC D6 8GB,623920,450.0,PCIE5.0X16,270.0,2026-04-20 15:27:56.166823
