Bench_Name,Score
L40S-6Q,6587
L40S-8Q,5287
L40S-12Q,8601
L40S-24Q,3257
LuminonCore IDDCX Adapter,6479
M860G with Mobility Radeon 4100,75
M880G with Mobility Radeon HD 4200,92
M880G with Mobility Radeon HD 4225,71
M880G with Mobility Radeon HD 4250,104
Master X3100 Driver,10
Matrox C420 LP PCIe x16,597
Matrox C680 PCIe x16,1803
Matrox C900 PCIe x16,1812
Matrox G200e WDDM 1.2,59
Matrox G200e WDDM 2.0,100
Matrox G200eh,40
Matrox G200eh WDDM 1.2,51
Matrox G200eh WDDM 2.0,54
Matrox G200eR,36
Matrox G200eR WDDM 1.2,45
Matrox G200eR WDDM 2.0,67
Matrox G200eW,39
Matrox G200eW3 WDDM 2.0,89
Matrox G200eW WDDM 1.2,50
Matrox LUMA A310,3690
Matrox LUMA A310F,3873
Matrox LUMA A380P,5811
Matrox M9120 PCIe x16,19
Matrox M9120 Plus LP PCIe x16,25
Matrox M9125 PCIe x16,25
Matrox M9128 LP PCIe x16,31
